channel_index,phase_index,phase_time,phase_score,phase_type
0,3228,2021-07-24T18:07:46.886000+00:00,1.0,P
0,3517,2021-07-24T18:07:49.776000+00:00,1.0,S
1,3228,2021-07-24T18:07:46.886000+00:00,1.0,P
1,3517,2021-07-24T18:07:49.776000+00:00,1.0,S
2,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
2,3517,2021-07-24T18:07:49.776000+00:00,1.0,S
3,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
3,3516,2021-07-24T18:07:49.766000+00:00,1.0,S
4,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
4,3516,2021-07-24T18:07:49.766000+00:00,1.0,S
5,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
5,3516,2021-07-24T18:07:49.766000+00:00,1.0,S
6,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
6,3516,2021-07-24T18:07:49.766000+00:00,1.0,S
7,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
7,3516,2021-07-24T18:07:49.766000+00:00,1.0,S
8,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
8,3515,2021-07-24T18:07:49.756000+00:00,1.0,S
9,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
9,3515,2021-07-24T18:07:49.756000+00:00,1.0,S
10,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
10,3515,2021-07-24T18:07:49.756000+00:00,1.0,S
11,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
11,3515,2021-07-24T18:07:49.756000+00:00,1.0,S
12,3227,2021-07-24T18:07:46.876000+00:00,1.0,P
12,3515,2021-07-24T18:07:49.756000+00:00,1.0,S
13,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
13,3514,2021-07-24T18:07:49.746000+00:00,1.0,S
14,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
14,3514,2021-07-24T18:07:49.746000+00:00,1.0,S
15,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
15,3514,2021-07-24T18:07:49.746000+00:00,1.0,S
16,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
16,3514,2021-07-24T18:07:49.746000+00:00,1.0,S
17,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
17,3514,2021-07-24T18:07:49.746000+00:00,1.0,S
18,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
18,3513,2021-07-24T18:07:49.736000+00:00,1.0,S
19,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
19,3513,2021-07-24T18:07:49.736000+00:00,1.0,S
20,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
20,3513,2021-07-24T18:07:49.736000+00:00,1.0,S
21,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
21,3513,2021-07-24T18:07:49.736000+00:00,1.0,S
22,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
22,3513,2021-07-24T18:07:49.736000+00:00,1.0,S
23,3226,2021-07-24T18:07:46.865999+00:00,1.0,P
23,3513,2021-07-24T18:07:49.736000+00:00,1.0,S
24,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
24,3512,2021-07-24T18:07:49.726000+00:00,1.0,S
25,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
25,3512,2021-07-24T18:07:49.726000+00:00,1.0,S
26,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
26,3512,2021-07-24T18:07:49.726000+00:00,1.0,S
27,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
27,3512,2021-07-24T18:07:49.726000+00:00,1.0,S
28,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
28,3512,2021-07-24T18:07:49.726000+00:00,1.0,S
29,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
29,3512,2021-07-24T18:07:49.726000+00:00,1.0,S
30,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
30,3511,2021-07-24T18:07:49.716000+00:00,1.0,S
31,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
31,3511,2021-07-24T18:07:49.716000+00:00,1.0,S
32,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
32,3511,2021-07-24T18:07:49.716000+00:00,1.0,S
33,3225,2021-07-24T18:07:46.856000+00:00,1.0,P
33,3511,2021-07-24T18:07:49.716000+00:00,1.0,S
34,3224,2021-07-24T18:07:46.846000+00:00,1.0,P
34,3511,2021-07-24T18:07:49.716000+00:00,1.0,S
35,3224,2021-07-24T18:07:46.846000+00:00,1.0,P
35,3510,2021-07-24T18:07:49.706000+00:00,1.0,S
36,3224,2021-07-24T18:07:46.846000+00:00,1.0,P
36,3510,2021-07-24T18:07:49.706000+00:00,1.0,S
37,3224,2021-07-24T18:07:46.846000+00:00,1.0,P
37,3510,2021-07-24T18:07:49.706000+00:00,1.0,S
38,3224,2021-07-24T18:07:46.846000+00:00,1.0,P
38,3510,2021-07-24T18:07:49.706000+00:00,1.0,S
39,3224,2021-07-24T18:07:46.846000+00:00,1.0,P
39,3510,2021-07-24T18:07:49.706000+00:00,1.0,S
