channel_index,phase_index,phase_time,phase_score,phase_type
0,3103,2020-12-28T02:13:47.395000+00:00,1.0,P
0,3326,2020-12-28T02:13:49.624999+00:00,1.0,S
1,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
1,3326,2020-12-28T02:13:49.624999+00:00,1.0,S
2,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
2,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
3,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
3,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
4,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
4,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
5,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
5,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
6,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
6,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
7,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
7,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
8,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
8,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
9,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
9,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
10,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
10,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
11,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
11,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
12,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
12,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
13,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
13,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
14,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
14,3325,2020-12-28T02:13:49.615000+00:00,1.0,S
15,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
15,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
16,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
16,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
17,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
17,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
18,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
18,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
19,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
19,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
20,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
20,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
21,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
21,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
22,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
22,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
23,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
23,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
24,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
24,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
25,3102,2020-12-28T02:13:47.385000+00:00,1.0,P
25,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
26,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
26,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
27,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
27,3324,2020-12-28T02:13:49.605000+00:00,1.0,S
28,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
28,3323,2020-12-28T02:13:49.595000+00:00,1.0,S
29,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
29,3323,2020-12-28T02:13:49.595000+00:00,1.0,S
30,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
30,3323,2020-12-28T02:13:49.595000+00:00,1.0,S
31,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
31,3323,2020-12-28T02:13:49.595000+00:00,1.0,S
32,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
32,3323,2020-12-28T02:13:49.595000+00:00,1.0,S
33,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
33,3323,2020-12-28T02:13:49.595000+00:00,1.0,S
34,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
34,3323,2020-12-28T02:13:49.595000+00:00,1.0,S
35,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
35,3323,2020-12-28T02:13:49.595000+00:00,1.0,S
36,3101,2020-12-28T02:13:47.375000+00:00,1.0,P
