channel_index,phase_index,phase_time,phase_score,phase_type
0,3183,2021-04-20T05:07:55.330000+00:00,1.0,P
0,3469,2021-04-20T05:07:58.190000+00:00,1.0,S
1,3183,2021-04-20T05:07:55.330000+00:00,1.0,P
1,3469,2021-04-20T05:07:58.190000+00:00,1.0,S
2,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
2,3469,2021-04-20T05:07:58.190000+00:00,1.0,S
3,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
3,3469,2021-04-20T05:07:58.190000+00:00,1.0,S
4,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
4,3469,2021-04-20T05:07:58.190000+00:00,1.0,S
5,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
5,3469,2021-04-20T05:07:58.190000+00:00,1.0,S
6,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
6,3469,2021-04-20T05:07:58.190000+00:00,1.0,S
7,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
7,3468,2021-04-20T05:07:58.180000+00:00,1.0,S
8,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
8,3468,2021-04-20T05:07:58.180000+00:00,1.0,S
9,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
9,3468,2021-04-20T05:07:58.180000+00:00,1.0,S
10,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
10,3468,2021-04-20T05:07:58.180000+00:00,1.0,S
11,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
11,3468,2021-04-20T05:07:58.180000+00:00,1.0,S
12,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
12,3467,2021-04-20T05:07:58.170000+00:00,1.0,S
13,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
13,3467,2021-04-20T05:07:58.170000+00:00,1.0,S
14,3182,2021-04-20T05:07:55.320000+00:00,1.0,P
14,3467,2021-04-20T05:07:58.170000+00:00,1.0,S
15,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
15,3467,2021-04-20T05:07:58.170000+00:00,1.0,S
16,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
16,3467,2021-04-20T05:07:58.170000+00:00,1.0,S
17,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
17,3467,2021-04-20T05:07:58.170000+00:00,1.0,S
18,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
18,3466,2021-04-20T05:07:58.160000+00:00,1.0,S
19,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
19,3466,2021-04-20T05:07:58.160000+00:00,1.0,S
20,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
20,3466,2021-04-20T05:07:58.160000+00:00,1.0,S
21,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
21,3466,2021-04-20T05:07:58.160000+00:00,1.0,S
22,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
22,3466,2021-04-20T05:07:58.160000+00:00,1.0,S
23,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
23,3465,2021-04-20T05:07:58.150000+00:00,1.0,S
24,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
24,3465,2021-04-20T05:07:58.150000+00:00,1.0,S
25,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
25,3465,2021-04-20T05:07:58.150000+00:00,1.0,S
26,3181,2021-04-20T05:07:55.310000+00:00,1.0,P
26,3465,2021-04-20T05:07:58.150000+00:00,1.0,S
27,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
27,3465,2021-04-20T05:07:58.150000+00:00,1.0,S
28,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
28,3464,2021-04-20T05:07:58.140000+00:00,1.0,S
29,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
29,3464,2021-04-20T05:07:58.140000+00:00,1.0,S
30,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
30,3464,2021-04-20T05:07:58.140000+00:00,1.0,S
31,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
31,3464,2021-04-20T05:07:58.140000+00:00,1.0,S
32,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
32,3464,2021-04-20T05:07:58.140000+00:00,1.0,S
33,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
33,3463,2021-04-20T05:07:58.130000+00:00,1.0,S
34,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
34,3463,2021-04-20T05:07:58.130000+00:00,1.0,S
35,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
35,3463,2021-04-20T05:07:58.130000+00:00,1.0,S
36,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
36,3463,2021-04-20T05:07:58.130000+00:00,1.0,S
37,3180,2021-04-20T05:07:55.300000+00:00,1.0,P
37,3462,2021-04-20T05:07:58.120000+00:00,1.0,S
38,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
38,3462,2021-04-20T05:07:58.120000+00:00,1.0,S
39,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
39,3462,2021-04-20T05:07:58.120000+00:00,1.0,S
40,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
40,3462,2021-04-20T05:07:58.120000+00:00,1.0,S
41,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
41,3462,2021-04-20T05:07:58.120000+00:00,1.0,S
42,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
42,3462,2021-04-20T05:07:58.120000+00:00,1.0,S
43,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
43,3461,2021-04-20T05:07:58.110000+00:00,1.0,S
44,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
44,3461,2021-04-20T05:07:58.110000+00:00,1.0,S
45,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
45,3461,2021-04-20T05:07:58.110000+00:00,1.0,S
46,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
46,3461,2021-04-20T05:07:58.110000+00:00,1.0,S
47,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
47,3460,2021-04-20T05:07:58.100000+00:00,1.0,S
48,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
48,3460,2021-04-20T05:07:58.100000+00:00,1.0,S
49,3179,2021-04-20T05:07:55.290000+00:00,1.0,P
49,3460,2021-04-20T05:07:58.100000+00:00,1.0,S
50,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
50,3459,2021-04-20T05:07:58.090000+00:00,1.0,S
51,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
51,3459,2021-04-20T05:07:58.090000+00:00,1.0,S
52,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
52,3459,2021-04-20T05:07:58.090000+00:00,1.0,S
53,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
53,3459,2021-04-20T05:07:58.090000+00:00,1.0,S
54,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
54,3458,2021-04-20T05:07:58.080000+00:00,1.0,S
55,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
55,3458,2021-04-20T05:07:58.080000+00:00,1.0,S
56,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
56,3458,2021-04-20T05:07:58.080000+00:00,1.0,S
57,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
57,3458,2021-04-20T05:07:58.080000+00:00,1.0,S
58,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
58,3458,2021-04-20T05:07:58.080000+00:00,1.0,S
59,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
59,3457,2021-04-20T05:07:58.070000+00:00,1.0,S
60,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
60,3457,2021-04-20T05:07:58.070000+00:00,1.0,S
61,3178,2021-04-20T05:07:55.280000+00:00,1.0,P
61,3457,2021-04-20T05:07:58.070000+00:00,1.0,S
62,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
62,3457,2021-04-20T05:07:58.070000+00:00,1.0,S
63,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
63,3456,2021-04-20T05:07:58.060000+00:00,1.0,S
64,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
64,3456,2021-04-20T05:07:58.060000+00:00,1.0,S
65,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
65,3456,2021-04-20T05:07:58.060000+00:00,1.0,S
66,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
66,3456,2021-04-20T05:07:58.060000+00:00,1.0,S
67,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
67,3456,2021-04-20T05:07:58.060000+00:00,1.0,S
68,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
68,3456,2021-04-20T05:07:58.060000+00:00,1.0,S
69,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
69,3455,2021-04-20T05:07:58.050000+00:00,1.0,S
70,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
70,3455,2021-04-20T05:07:58.050000+00:00,1.0,S
71,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
71,3455,2021-04-20T05:07:58.050000+00:00,1.0,S
72,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
72,3455,2021-04-20T05:07:58.050000+00:00,1.0,S
73,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
73,3455,2021-04-20T05:07:58.050000+00:00,1.0,S
74,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
74,3454,2021-04-20T05:07:58.040000+00:00,1.0,S
75,3177,2021-04-20T05:07:55.270000+00:00,1.0,P
75,3454,2021-04-20T05:07:58.040000+00:00,1.0,S
76,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
76,3454,2021-04-20T05:07:58.040000+00:00,1.0,S
77,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
77,3454,2021-04-20T05:07:58.040000+00:00,1.0,S
78,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
78,3454,2021-04-20T05:07:58.040000+00:00,1.0,S
79,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
79,3453,2021-04-20T05:07:58.030000+00:00,1.0,S
80,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
80,3453,2021-04-20T05:07:58.030000+00:00,1.0,S
81,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
81,3453,2021-04-20T05:07:58.030000+00:00,1.0,S
82,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
82,3453,2021-04-20T05:07:58.030000+00:00,1.0,S
83,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
83,3453,2021-04-20T05:07:58.030000+00:00,1.0,S
84,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
84,3453,2021-04-20T05:07:58.030000+00:00,1.0,S
85,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
85,3453,2021-04-20T05:07:58.030000+00:00,1.0,S
86,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
86,3453,2021-04-20T05:07:58.030000+00:00,1.0,S
87,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
87,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
88,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
88,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
89,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
89,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
90,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
90,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
91,3176,2021-04-20T05:07:55.260000+00:00,1.0,P
91,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
92,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
92,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
93,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
93,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
94,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
94,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
95,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
95,3452,2021-04-20T05:07:58.020000+00:00,1.0,S
96,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
96,3451,2021-04-20T05:07:58.010000+00:00,1.0,S
97,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
97,3451,2021-04-20T05:07:58.010000+00:00,1.0,S
98,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
98,3451,2021-04-20T05:07:58.010000+00:00,1.0,S
99,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
99,3451,2021-04-20T05:07:58.010000+00:00,1.0,S
100,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
100,3451,2021-04-20T05:07:58.010000+00:00,1.0,S
101,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
101,3451,2021-04-20T05:07:58.010000+00:00,1.0,S
102,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
102,3450,2021-04-20T05:07:58+00:00,1.0,S
103,3175,2021-04-20T05:07:55.250000+00:00,1.0,P
103,3450,2021-04-20T05:07:58+00:00,1.0,S
104,3174,2021-04-20T05:07:55.240000+00:00,1.0,P
104,3450,2021-04-20T05:07:58+00:00,1.0,S
105,3174,2021-04-20T05:07:55.240000+00:00,1.0,P
105,3449,2021-04-20T05:07:57.990000+00:00,1.0,S
106,3174,2021-04-20T05:07:55.240000+00:00,1.0,P
106,3449,2021-04-20T05:07:57.990000+00:00,1.0,S
107,3174,2021-04-20T05:07:55.240000+00:00,1.0,P
107,3449,2021-04-20T05:07:57.990000+00:00,1.0,S
108,3174,2021-04-20T05:07:55.240000+00:00,1.0,P
108,3448,2021-04-20T05:07:57.980000+00:00,1.0,S
109,3174,2021-04-20T05:07:55.240000+00:00,1.0,P
