channel_index,phase_index,phase_time,phase_score,phase_type
0,3141,2021-02-15T20:53:57.415000+00:00,1.0,P
0,3416,2021-02-15T20:54:00.165000+00:00,1.0,S
1,3141,2021-02-15T20:53:57.415000+00:00,1.0,P
1,3416,2021-02-15T20:54:00.165000+00:00,1.0,S
2,3141,2021-02-15T20:53:57.415000+00:00,1.0,P
2,3416,2021-02-15T20:54:00.165000+00:00,1.0,S
3,3141,2021-02-15T20:53:57.415000+00:00,1.0,P
3,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
4,3141,2021-02-15T20:53:57.415000+00:00,1.0,P
4,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
5,3141,2021-02-15T20:53:57.415000+00:00,1.0,P
5,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
6,3141,2021-02-15T20:53:57.415000+00:00,1.0,P
6,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
7,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
7,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
8,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
8,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
9,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
9,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
10,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
10,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
11,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
11,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
12,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
12,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
13,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
13,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
14,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
14,3415,2021-02-15T20:54:00.155000+00:00,1.0,S
15,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
15,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
16,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
16,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
17,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
17,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
18,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
18,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
19,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
19,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
20,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
20,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
21,3140,2021-02-15T20:53:57.405000+00:00,1.0,P
21,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
22,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
22,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
23,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
23,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
24,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
24,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
25,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
25,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
26,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
26,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
27,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
27,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
28,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
28,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
29,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
29,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
30,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
30,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
31,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
31,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
32,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
32,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
33,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
33,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
34,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
34,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
35,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
35,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
36,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
36,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
37,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
37,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
38,3139,2021-02-15T20:53:57.395000+00:00,1.0,P
38,3414,2021-02-15T20:54:00.145000+00:00,1.0,S
