channel_index,phase_index,phase_time,phase_score,phase_type
0,3173,2021-09-03T11:17:04.046000+00:00,1.0,P
0,3485,2021-09-03T11:17:07.166000+00:00,1.0,S
1,3173,2021-09-03T11:17:04.046000+00:00,1.0,P
1,3485,2021-09-03T11:17:07.166000+00:00,1.0,S
2,3173,2021-09-03T11:17:04.046000+00:00,1.0,P
2,3485,2021-09-03T11:17:07.166000+00:00,1.0,S
3,3173,2021-09-03T11:17:04.046000+00:00,1.0,P
3,3485,2021-09-03T11:17:07.166000+00:00,1.0,S
4,3173,2021-09-03T11:17:04.046000+00:00,1.0,P
4,3485,2021-09-03T11:17:07.166000+00:00,1.0,S
5,3173,2021-09-03T11:17:04.046000+00:00,1.0,P
5,3485,2021-09-03T11:17:07.166000+00:00,1.0,S
6,3173,2021-09-03T11:17:04.046000+00:00,1.0,P
6,3485,2021-09-03T11:17:07.166000+00:00,1.0,S
7,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
7,3485,2021-09-03T11:17:07.166000+00:00,1.0,S
8,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
8,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
9,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
9,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
10,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
10,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
11,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
11,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
12,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
12,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
13,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
13,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
14,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
14,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
15,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
15,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
16,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
16,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
17,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
17,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
18,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
18,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
19,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
19,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
20,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
20,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
21,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
21,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
22,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
22,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
23,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
23,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
24,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
24,3484,2021-09-03T11:17:07.156000+00:00,1.0,S
25,3172,2021-09-03T11:17:04.036000+00:00,1.0,P
