channel_index,phase_index,phase_time,phase_score,phase_type
0,3045,2021-01-24T22:16:10.920000+00:00,1.0,P
0,3294,2021-01-24T22:16:13.409999+00:00,1.0,S
1,3045,2021-01-24T22:16:10.920000+00:00,1.0,P
1,3293,2021-01-24T22:16:13.400000+00:00,1.0,S
2,3045,2021-01-24T22:16:10.920000+00:00,1.0,P
2,3293,2021-01-24T22:16:13.400000+00:00,1.0,S
3,3045,2021-01-24T22:16:10.920000+00:00,1.0,P
3,3293,2021-01-24T22:16:13.400000+00:00,1.0,S
4,3045,2021-01-24T22:16:10.920000+00:00,1.0,P
4,3293,2021-01-24T22:16:13.400000+00:00,1.0,S
5,3045,2021-01-24T22:16:10.920000+00:00,1.0,P
5,3292,2021-01-24T22:16:13.390000+00:00,1.0,S
6,3045,2021-01-24T22:16:10.920000+00:00,1.0,P
6,3292,2021-01-24T22:16:13.390000+00:00,1.0,S
7,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
7,3292,2021-01-24T22:16:13.390000+00:00,1.0,S
8,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
8,3292,2021-01-24T22:16:13.390000+00:00,1.0,S
9,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
9,3292,2021-01-24T22:16:13.390000+00:00,1.0,S
10,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
10,3291,2021-01-24T22:16:13.380000+00:00,1.0,S
11,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
11,3291,2021-01-24T22:16:13.380000+00:00,1.0,S
12,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
12,3291,2021-01-24T22:16:13.380000+00:00,1.0,S
13,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
13,3291,2021-01-24T22:16:13.380000+00:00,1.0,S
14,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
14,3291,2021-01-24T22:16:13.380000+00:00,1.0,S
15,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
15,3291,2021-01-24T22:16:13.380000+00:00,1.0,S
16,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
16,3291,2021-01-24T22:16:13.380000+00:00,1.0,S
17,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
17,3291,2021-01-24T22:16:13.380000+00:00,1.0,S
18,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
18,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
19,3044,2021-01-24T22:16:10.910000+00:00,1.0,P
19,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
20,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
20,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
21,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
21,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
22,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
22,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
23,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
23,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
24,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
24,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
25,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
25,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
26,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
26,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
27,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
27,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
28,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
28,3290,2021-01-24T22:16:13.370000+00:00,1.0,S
29,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
29,3289,2021-01-24T22:16:13.360000+00:00,1.0,S
30,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
30,3289,2021-01-24T22:16:13.360000+00:00,1.0,S
31,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
31,3289,2021-01-24T22:16:13.360000+00:00,1.0,S
32,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
32,3289,2021-01-24T22:16:13.360000+00:00,1.0,S
33,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
33,3289,2021-01-24T22:16:13.360000+00:00,1.0,S
34,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
34,3289,2021-01-24T22:16:13.360000+00:00,1.0,S
35,3043,2021-01-24T22:16:10.900000+00:00,1.0,P
35,3289,2021-01-24T22:16:13.360000+00:00,1.0,S
36,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
36,3289,2021-01-24T22:16:13.360000+00:00,1.0,S
37,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
37,3288,2021-01-24T22:16:13.350000+00:00,1.0,S
38,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
38,3288,2021-01-24T22:16:13.350000+00:00,1.0,S
39,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
39,3288,2021-01-24T22:16:13.350000+00:00,1.0,S
40,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
40,3288,2021-01-24T22:16:13.350000+00:00,1.0,S
41,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
41,3288,2021-01-24T22:16:13.350000+00:00,1.0,S
42,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
42,3288,2021-01-24T22:16:13.350000+00:00,1.0,S
43,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
43,3288,2021-01-24T22:16:13.350000+00:00,1.0,S
44,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
44,3288,2021-01-24T22:16:13.350000+00:00,1.0,S
45,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
45,3287,2021-01-24T22:16:13.339999+00:00,1.0,S
46,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
46,3287,2021-01-24T22:16:13.339999+00:00,1.0,S
47,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
47,3287,2021-01-24T22:16:13.339999+00:00,1.0,S
48,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
48,3287,2021-01-24T22:16:13.339999+00:00,1.0,S
49,3042,2021-01-24T22:16:10.890000+00:00,1.0,P
49,3287,2021-01-24T22:16:13.339999+00:00,1.0,S
50,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
50,3287,2021-01-24T22:16:13.339999+00:00,1.0,S
51,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
51,3287,2021-01-24T22:16:13.339999+00:00,1.0,S
52,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
52,3287,2021-01-24T22:16:13.339999+00:00,1.0,S
53,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
53,3286,2021-01-24T22:16:13.330000+00:00,1.0,S
54,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
54,3286,2021-01-24T22:16:13.330000+00:00,1.0,S
55,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
55,3286,2021-01-24T22:16:13.330000+00:00,1.0,S
56,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
56,3286,2021-01-24T22:16:13.330000+00:00,1.0,S
57,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
57,3286,2021-01-24T22:16:13.330000+00:00,1.0,S
58,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
58,3286,2021-01-24T22:16:13.330000+00:00,1.0,S
59,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
59,3286,2021-01-24T22:16:13.330000+00:00,1.0,S
60,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
60,3285,2021-01-24T22:16:13.320000+00:00,1.0,S
61,3041,2021-01-24T22:16:10.880000+00:00,1.0,P
61,3285,2021-01-24T22:16:13.320000+00:00,1.0,S
62,3040,2021-01-24T22:16:10.870000+00:00,1.0,P
62,3285,2021-01-24T22:16:13.320000+00:00,1.0,S
63,3040,2021-01-24T22:16:10.870000+00:00,1.0,P
63,3285,2021-01-24T22:16:13.320000+00:00,1.0,S
64,3040,2021-01-24T22:16:10.870000+00:00,1.0,P
64,3285,2021-01-24T22:16:13.320000+00:00,1.0,S
65,3040,2021-01-24T22:16:10.870000+00:00,1.0,P
65,3285,2021-01-24T22:16:13.320000+00:00,1.0,S
66,3040,2021-01-24T22:16:10.870000+00:00,1.0,P
