channel_index,phase_index,phase_time,phase_score,phase_type
0,3177,2021-05-10T07:37:35.084000+00:00,1.0,P
0,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
1,3177,2021-05-10T07:37:35.084000+00:00,1.0,P
1,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
2,3177,2021-05-10T07:37:35.084000+00:00,1.0,P
2,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
3,3177,2021-05-10T07:37:35.084000+00:00,1.0,P
3,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
4,3177,2021-05-10T07:37:35.084000+00:00,1.0,P
4,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
5,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
5,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
6,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
6,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
7,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
7,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
8,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
8,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
9,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
9,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
10,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
10,3490,2021-05-10T07:37:38.214000+00:00,1.0,S
11,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
11,3489,2021-05-10T07:37:38.204000+00:00,1.0,S
12,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
12,3489,2021-05-10T07:37:38.204000+00:00,1.0,S
13,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
13,3489,2021-05-10T07:37:38.204000+00:00,1.0,S
14,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
14,3489,2021-05-10T07:37:38.204000+00:00,1.0,S
15,3176,2021-05-10T07:37:35.074000+00:00,1.0,P
