channel_index,phase_index,phase_time,phase_score,phase_type
0,3115,2021-08-05T00:27:33.506000+00:00,1.0,P
0,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
1,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
1,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
2,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
2,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
3,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
3,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
4,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
4,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
5,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
5,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
6,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
6,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
7,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
7,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
8,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
8,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
9,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
9,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
10,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
10,3353,2021-08-05T00:27:35.886000+00:00,1.0,S
11,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
11,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
12,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
12,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
13,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
13,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
14,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
14,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
15,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
15,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
16,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
16,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
17,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
17,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
18,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
18,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
19,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
19,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
20,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
20,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
21,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
21,3352,2021-08-05T00:27:35.876000+00:00,1.0,S
22,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
22,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
23,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
23,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
24,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
24,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
25,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
25,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
26,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
26,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
27,3114,2021-08-05T00:27:33.496000+00:00,1.0,P
27,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
28,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
28,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
29,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
29,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
30,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
30,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
31,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
31,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
32,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
32,3351,2021-08-05T00:27:35.865999+00:00,1.0,S
33,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
33,3350,2021-08-05T00:27:35.856000+00:00,1.0,S
34,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
34,3350,2021-08-05T00:27:35.856000+00:00,1.0,S
35,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
35,3350,2021-08-05T00:27:35.856000+00:00,1.0,S
36,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
36,3350,2021-08-05T00:27:35.856000+00:00,1.0,S
37,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
37,3350,2021-08-05T00:27:35.856000+00:00,1.0,S
38,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
38,3350,2021-08-05T00:27:35.856000+00:00,1.0,S
39,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
39,3350,2021-08-05T00:27:35.856000+00:00,1.0,S
40,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
40,3349,2021-08-05T00:27:35.846000+00:00,1.0,S
41,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
41,3349,2021-08-05T00:27:35.846000+00:00,1.0,S
42,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
42,3349,2021-08-05T00:27:35.846000+00:00,1.0,S
43,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
43,3349,2021-08-05T00:27:35.846000+00:00,1.0,S
44,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
44,3349,2021-08-05T00:27:35.846000+00:00,1.0,S
45,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
45,3349,2021-08-05T00:27:35.846000+00:00,1.0,S
46,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
46,3349,2021-08-05T00:27:35.846000+00:00,1.0,S
47,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
47,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
48,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
48,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
49,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
49,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
50,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
50,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
51,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
51,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
52,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
52,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
53,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
53,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
54,3113,2021-08-05T00:27:33.486000+00:00,1.0,P
54,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
55,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
55,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
56,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
56,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
57,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
57,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
58,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
58,3348,2021-08-05T00:27:35.836000+00:00,1.0,S
59,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
59,3347,2021-08-05T00:27:35.826000+00:00,1.0,S
60,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
60,3347,2021-08-05T00:27:35.826000+00:00,1.0,S
61,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
61,3347,2021-08-05T00:27:35.826000+00:00,1.0,S
62,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
62,3347,2021-08-05T00:27:35.826000+00:00,1.0,S
63,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
63,3347,2021-08-05T00:27:35.826000+00:00,1.0,S
64,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
64,3347,2021-08-05T00:27:35.826000+00:00,1.0,S
65,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
65,3347,2021-08-05T00:27:35.826000+00:00,1.0,S
66,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
66,3347,2021-08-05T00:27:35.826000+00:00,1.0,S
67,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
67,3346,2021-08-05T00:27:35.816000+00:00,1.0,S
68,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
68,3346,2021-08-05T00:27:35.816000+00:00,1.0,S
69,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
69,3346,2021-08-05T00:27:35.816000+00:00,1.0,S
70,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
70,3346,2021-08-05T00:27:35.816000+00:00,1.0,S
71,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
71,3346,2021-08-05T00:27:35.816000+00:00,1.0,S
72,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
72,3346,2021-08-05T00:27:35.816000+00:00,1.0,S
73,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
73,3346,2021-08-05T00:27:35.816000+00:00,1.0,S
74,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
74,3346,2021-08-05T00:27:35.816000+00:00,1.0,S
75,3112,2021-08-05T00:27:33.476000+00:00,1.0,P
75,3345,2021-08-05T00:27:35.806000+00:00,1.0,S
76,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
76,3345,2021-08-05T00:27:35.806000+00:00,1.0,S
77,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
77,3345,2021-08-05T00:27:35.806000+00:00,1.0,S
78,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
78,3345,2021-08-05T00:27:35.806000+00:00,1.0,S
79,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
79,3345,2021-08-05T00:27:35.806000+00:00,1.0,S
80,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
80,3345,2021-08-05T00:27:35.806000+00:00,1.0,S
81,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
81,3345,2021-08-05T00:27:35.806000+00:00,1.0,S
82,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
82,3344,2021-08-05T00:27:35.795999+00:00,1.0,S
83,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
83,3344,2021-08-05T00:27:35.795999+00:00,1.0,S
84,3111,2021-08-05T00:27:33.466000+00:00,1.0,P
