channel_index,phase_index,phase_time,phase_score,phase_type
0,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
0,3449,2021-03-20T17:55:27.730000+00:00,1.0,S
1,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
1,3449,2021-03-20T17:55:27.730000+00:00,1.0,S
2,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
2,3449,2021-03-20T17:55:27.730000+00:00,1.0,S
3,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
3,3449,2021-03-20T17:55:27.730000+00:00,1.0,S
4,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
4,3449,2021-03-20T17:55:27.730000+00:00,1.0,S
5,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
5,3449,2021-03-20T17:55:27.730000+00:00,1.0,S
6,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
6,3449,2021-03-20T17:55:27.730000+00:00,1.0,S
7,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
7,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
8,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
8,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
9,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
9,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
10,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
10,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
11,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
11,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
12,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
12,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
13,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
13,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
14,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
14,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
15,3100,2021-03-20T17:55:24.240000+00:00,1.0,P
15,3448,2021-03-20T17:55:27.720000+00:00,1.0,S
16,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
16,3447,2021-03-20T17:55:27.710000+00:00,1.0,S
17,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
17,3447,2021-03-20T17:55:27.710000+00:00,1.0,S
18,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
18,3447,2021-03-20T17:55:27.710000+00:00,1.0,S
19,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
19,3447,2021-03-20T17:55:27.710000+00:00,1.0,S
20,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
20,3446,2021-03-20T17:55:27.700000+00:00,1.0,S
21,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
21,3446,2021-03-20T17:55:27.700000+00:00,1.0,S
22,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
22,3446,2021-03-20T17:55:27.700000+00:00,1.0,S
23,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
23,3446,2021-03-20T17:55:27.700000+00:00,1.0,S
24,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
24,3446,2021-03-20T17:55:27.700000+00:00,1.0,S
25,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
25,3446,2021-03-20T17:55:27.700000+00:00,1.0,S
26,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
26,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
27,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
27,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
28,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
28,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
29,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
29,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
30,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
30,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
31,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
31,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
32,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
32,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
33,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
33,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
34,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
34,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
35,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
35,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
36,3099,2021-03-20T17:55:24.230000+00:00,1.0,P
36,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
37,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
37,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
38,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
38,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
39,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
39,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
40,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
40,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
41,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
41,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
42,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
42,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
43,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
43,3445,2021-03-20T17:55:27.690000+00:00,1.0,S
44,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
44,3444,2021-03-20T17:55:27.680000+00:00,1.0,S
45,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
45,3444,2021-03-20T17:55:27.680000+00:00,1.0,S
46,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
46,3444,2021-03-20T17:55:27.680000+00:00,1.0,S
47,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
47,3444,2021-03-20T17:55:27.680000+00:00,1.0,S
48,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
48,3444,2021-03-20T17:55:27.680000+00:00,1.0,S
49,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
49,3444,2021-03-20T17:55:27.680000+00:00,1.0,S
50,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
50,3444,2021-03-20T17:55:27.680000+00:00,1.0,S
51,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
51,3443,2021-03-20T17:55:27.670000+00:00,1.0,S
52,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
52,3443,2021-03-20T17:55:27.670000+00:00,1.0,S
53,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
53,3443,2021-03-20T17:55:27.670000+00:00,1.0,S
54,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
54,3443,2021-03-20T17:55:27.670000+00:00,1.0,S
55,3098,2021-03-20T17:55:24.220000+00:00,1.0,P
55,3443,2021-03-20T17:55:27.670000+00:00,1.0,S
56,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
56,3443,2021-03-20T17:55:27.670000+00:00,1.0,S
57,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
57,3443,2021-03-20T17:55:27.670000+00:00,1.0,S
58,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
58,3442,2021-03-20T17:55:27.660000+00:00,1.0,S
59,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
59,3442,2021-03-20T17:55:27.660000+00:00,1.0,S
60,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
60,3442,2021-03-20T17:55:27.660000+00:00,1.0,S
61,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
61,3442,2021-03-20T17:55:27.660000+00:00,1.0,S
62,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
62,3442,2021-03-20T17:55:27.660000+00:00,1.0,S
63,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
63,3441,2021-03-20T17:55:27.650000+00:00,1.0,S
64,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
64,3441,2021-03-20T17:55:27.650000+00:00,1.0,S
65,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
65,3441,2021-03-20T17:55:27.650000+00:00,1.0,S
66,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
66,3441,2021-03-20T17:55:27.650000+00:00,1.0,S
67,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
67,3441,2021-03-20T17:55:27.650000+00:00,1.0,S
68,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
68,3441,2021-03-20T17:55:27.650000+00:00,1.0,S
69,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
69,3440,2021-03-20T17:55:27.640000+00:00,1.0,S
70,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
70,3440,2021-03-20T17:55:27.640000+00:00,1.0,S
71,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
71,3440,2021-03-20T17:55:27.640000+00:00,1.0,S
72,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
72,3440,2021-03-20T17:55:27.640000+00:00,1.0,S
73,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
73,3440,2021-03-20T17:55:27.640000+00:00,1.0,S
74,3097,2021-03-20T17:55:24.210000+00:00,1.0,P
74,3439,2021-03-20T17:55:27.630000+00:00,1.0,S
75,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
75,3439,2021-03-20T17:55:27.630000+00:00,1.0,S
76,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
76,3439,2021-03-20T17:55:27.630000+00:00,1.0,S
77,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
77,3439,2021-03-20T17:55:27.630000+00:00,1.0,S
78,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
78,3438,2021-03-20T17:55:27.620000+00:00,1.0,S
79,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
79,3438,2021-03-20T17:55:27.620000+00:00,1.0,S
80,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
80,3438,2021-03-20T17:55:27.620000+00:00,1.0,S
81,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
81,3438,2021-03-20T17:55:27.620000+00:00,1.0,S
82,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
82,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
83,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
83,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
84,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
84,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
85,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
85,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
86,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
86,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
87,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
87,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
88,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
88,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
89,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
89,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
90,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
90,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
91,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
91,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
92,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
92,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
93,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
93,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
94,3096,2021-03-20T17:55:24.200000+00:00,1.0,P
94,3437,2021-03-20T17:55:27.610000+00:00,1.0,S
