channel_index,phase_index,phase_time,phase_score,phase_type
0,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
0,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
1,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
1,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
2,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
2,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
3,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
3,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
4,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
4,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
5,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
5,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
6,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
6,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
7,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
7,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
8,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
8,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
9,3114,2021-02-13T16:21:11.235000+00:00,1.0,P
9,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
10,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
10,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
11,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
11,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
12,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
12,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
13,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
13,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
14,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
14,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
15,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
15,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
16,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
16,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
17,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
17,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
18,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
18,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
19,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
19,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
20,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
20,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
21,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
21,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
22,3113,2021-02-13T16:21:11.225000+00:00,1.0,P
22,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
23,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
23,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
24,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
24,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
25,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
25,3390,2021-02-13T16:21:13.995000+00:00,1.0,S
26,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
26,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
27,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
27,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
28,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
28,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
29,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
29,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
30,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
30,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
31,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
31,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
32,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
32,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
33,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
33,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
34,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
34,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
35,3112,2021-02-13T16:21:11.215000+00:00,1.0,P
35,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
36,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
36,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
37,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
37,3389,2021-02-13T16:21:13.985000+00:00,1.0,S
38,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
38,3388,2021-02-13T16:21:13.975000+00:00,1.0,S
39,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
39,3388,2021-02-13T16:21:13.975000+00:00,1.0,S
40,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
40,3388,2021-02-13T16:21:13.975000+00:00,1.0,S
41,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
41,3388,2021-02-13T16:21:13.975000+00:00,1.0,S
42,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
42,3388,2021-02-13T16:21:13.975000+00:00,1.0,S
43,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
43,3388,2021-02-13T16:21:13.975000+00:00,1.0,S
44,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
44,3388,2021-02-13T16:21:13.975000+00:00,1.0,S
45,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
45,3388,2021-02-13T16:21:13.975000+00:00,1.0,S
46,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
46,3387,2021-02-13T16:21:13.964999+00:00,1.0,S
47,3111,2021-02-13T16:21:11.205000+00:00,1.0,P
47,3387,2021-02-13T16:21:13.964999+00:00,1.0,S
48,3110,2021-02-13T16:21:11.195000+00:00,1.0,P
48,3387,2021-02-13T16:21:13.964999+00:00,1.0,S
49,3110,2021-02-13T16:21:11.195000+00:00,1.0,P
49,3387,2021-02-13T16:21:13.964999+00:00,1.0,S
50,3110,2021-02-13T16:21:11.195000+00:00,1.0,P
50,3387,2021-02-13T16:21:13.964999+00:00,1.0,S
51,3110,2021-02-13T16:21:11.195000+00:00,1.0,P
51,3387,2021-02-13T16:21:13.964999+00:00,1.0,S
52,3110,2021-02-13T16:21:11.195000+00:00,1.0,P
52,3387,2021-02-13T16:21:13.964999+00:00,1.0,S
