channel_index,phase_index,phase_time,phase_score,phase_type
0,3103,2021-03-20T17:41:35.115000+00:00,1.0,P
0,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
1,3103,2021-03-20T17:41:35.115000+00:00,1.0,P
1,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
2,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
2,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
3,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
3,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
4,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
4,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
5,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
5,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
6,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
6,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
7,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
7,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
8,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
8,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
9,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
9,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
10,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
10,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
11,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
11,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
12,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
12,3437,2021-03-20T17:41:38.455000+00:00,1.0,S
13,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
13,3436,2021-03-20T17:41:38.445000+00:00,1.0,S
14,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
14,3436,2021-03-20T17:41:38.445000+00:00,1.0,S
15,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
15,3436,2021-03-20T17:41:38.445000+00:00,1.0,S
16,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
16,3435,2021-03-20T17:41:38.435000+00:00,1.0,S
17,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
17,3435,2021-03-20T17:41:38.435000+00:00,1.0,S
18,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
18,3435,2021-03-20T17:41:38.435000+00:00,1.0,S
19,3102,2021-03-20T17:41:35.105000+00:00,1.0,P
19,3435,2021-03-20T17:41:38.435000+00:00,1.0,S
20,3101,2021-03-20T17:41:35.095000+00:00,1.0,P
20,3435,2021-03-20T17:41:38.435000+00:00,1.0,S
21,3101,2021-03-20T17:41:35.095000+00:00,1.0,P
