channel_index,phase_index,phase_time,phase_score,phase_type
0,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
0,3378,2020-12-13T10:37:30.970000+00:00,1.0,S
1,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
1,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
2,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
2,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
3,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
3,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
4,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
4,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
5,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
5,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
6,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
6,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
7,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
7,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
8,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
8,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
9,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
9,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
10,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
10,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
11,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
11,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
12,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
12,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
13,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
13,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
14,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
14,3377,2020-12-13T10:37:30.960000+00:00,1.0,S
15,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
15,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
16,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
16,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
17,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
17,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
18,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
18,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
19,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
19,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
20,3074,2020-12-13T10:37:27.930000+00:00,1.0,P
20,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
21,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
21,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
22,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
22,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
23,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
23,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
24,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
24,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
25,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
25,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
26,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
26,3376,2020-12-13T10:37:30.949999+00:00,1.0,S
27,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
27,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
28,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
28,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
29,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
29,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
30,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
30,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
31,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
31,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
32,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
32,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
33,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
33,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
34,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
34,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
35,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
35,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
36,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
36,3375,2020-12-13T10:37:30.940000+00:00,1.0,S
37,3073,2020-12-13T10:37:27.920000+00:00,1.0,P
