index,latitude,longitude,elevation_m
9,37.64213205057964,-118.96395603266598,2381.3709167525426
10,37.642031001948816,-118.9639556396882,2383.5799610238228
11,37.64194199455012,-118.9639608468246,2385.230853075009
12,37.6418496988145,-118.963967,2386.0
13,37.64175808849388,-118.963967,2386.0
14,37.64166606550668,-118.963967,2386.0
15,37.64157372517651,-118.963967,2386.0
16,37.64148120545283,-118.963967,2386.0
17,37.641388869998735,-118.963967,2386.0
18,37.64129701657329,-118.96396942080194,2386.0
19,37.64120502914727,-118.963975,2386.0
20,37.64111341797475,-118.963975,2386.0
21,37.64101978841989,-118.963975,2386.0
22,37.64092949568013,-118.963975,2386.0
23,37.64083728921735,-118.96396928599736,2386.0
24,37.64074472340406,-118.963967,2386.0
25,37.64065263548161,-118.9639723967744,2386.0
26,37.64056159651312,-118.963975,2386.0
27,37.64046851431157,-118.963975,2386.0
28,37.64037580296304,-118.963983,2386.0
29,37.64028506185,-118.9639820812744,2385.770318604759
30,37.64020729269999,-118.963942715152,2384.0
31,37.64017438644093,-118.96384125085024,2385.4033897669115
32,37.640169418398926,-118.96372412764237,2386.5163202139
33,37.64016460168644,-118.96361141939416,2387.0
34,37.64015802910675,-118.9634950572112,2387.0
35,37.640154612649496,-118.963378406357,2387.0
36,37.64015060693142,-118.96326259086692,2387.0
37,37.64014680012009,-118.96314731675604,2387.0
38,37.64014123510484,-118.9630328364423,2387.0
39,37.640138036726,-118.96291539558806,2387.0
40,37.640137,-118.9628007379312,2387.0
41,37.640137,-118.96268484000792,2387.0
42,37.640137,-118.9625678713917,2387.0
43,37.640137,-118.96245452832498,2387.0
44,37.640137,-118.96233798978464,2387.0
45,37.640137,-118.96222231029851,2387.0
46,37.64013759539864,-118.96210626794986,2387.0
47,37.64014069866014,-118.961992998905,2387.0
48,37.640141,-118.96187514905,2387.0
49,37.640142214598825,-118.96176005546012,2386.5951337262795
50,37.640144,-118.96164500944596,2386.0
51,37.640144,-118.96152906729988,2386.0
52,37.640144,-118.96141364242766,2386.0
53,37.640144,-118.96129780238728,2386.0
54,37.640144,-118.96118232495724,2386.0
55,37.64014674796704,-118.96106658538456,2386.0
56,37.640148,-118.96095098029804,2386.0
57,37.640148223629474,-118.9608361603031,2386.0
58,37.64015087913588,-118.96071931802123,2386.0
59,37.640152,-118.9606041547691,2386.0
60,37.640152,-118.96048914098496,2386.0
61,37.640152,-118.960372949581,2386.0
62,37.640152,-118.96025725736304,2386.0
63,37.640152,-118.96014081942867,2386.0
64,37.640152,-118.96002653236155,2386.0
65,37.640152,-118.9599105098932,2385.588124393263
66,37.64015231692007,-118.95979552749344,2385.0
67,37.64015552850826,-118.95967926800104,2385.0
68,37.640157707752536,-118.95956407165312,2384.646123732131
69,37.64015901374962,-118.95944973847178,2384.0
70,37.64016028538508,-118.95933306591878,2384.0
71,37.640161545566656,-118.95921744425962,2384.0
72,37.640162803589504,-118.9591020206624,2384.0
73,37.64016510955868,-118.9589869603008,2382.945220660936
74,37.64016635887361,-118.95887179043886,2382.0
75,37.6401637504485,-118.95875701973398,2382.0
76,37.640163,-118.9586409820742,2381.546350132244
77,37.64016265479393,-118.95852537942528,2381.0
78,37.64016010771194,-118.95841012396517,2381.0
